Player,Overs,Mdns,Runs,WktsDescending,Econ,Inns,Opposition,Ground,Start Date,Team
A Kumble,22.83333333333333,7,46,4,2.01,4,Australia,Chennai,3/6/1998,India
HH Streak,27,12,46,4,1.7,3,India,Harare,6/15/2001,Zimbabwe
Harbhajan Singh,31.666666666666668,9,46,4,1.45,3,Zimbabwe,Nagpur,2/21/2002,India
Saqlain Mushtaq,15.833333333333334,0,46,4,2.9,3,Australia,Colombo (PSS),10/3/2002,Pakistan
AF Giles,24,6,46,4,1.91,3,New Zealand,Nottingham,6/10/2004,England
TL Best,13,1,46,4,3.53,3,Pakistan,Kingston,6/3/2005,West Indies
B Lee,17,5,46,4,2.7,3,West Indies,Adelaide,11/25/2005,Australia
Umar Gul,15.333333333333334,3,46,4,3,1,England,The Oval,8/17/2006,Pakistan
PL Harris,20.33333333333333,6,46,4,2.26,3,Pakistan,Centurion,1/11/2007,South Africa
B Lee,19.83333333333333,6,46,4,2.31,2,India,Melbourne,12/26/2007,Australia
TG Southee,18,4,46,4,2.55,2,Sri Lanka,Galle,11/17/2012,New Zealand
MDK Perera,23,8,46,4,2,2,South Africa,Galle,7/12/2018,Sri Lanka
JJ Bumrah,20.666666666666668,4,46,4,2.22,1,England,Nottingham,8/4/2021,India
IR Bishop,17.333333333333332,6,47,4,2.71,1,Pakistan,Faisalabad,11/23/1990,West Indies
CJ McDermott,25,7,47,4,1.88,3,India,Brisbane,11/29/1991,Australia
M Muralidaran,15.833333333333334,4,47,4,2.96,2,West Indies,Moratuwa,12/8/1993,Sri Lanka
D Gough,16.5,2,47,4,2.84,2,New Zealand,Manchester,6/30/1994,England
PR Reiffel,18,5,47,4,2.61,3,West Indies,Kingston,4/29/1995,Australia
AA Donald,13,3,47,4,3.61,2,Pakistan,Gqeberha,3/6/1998,South Africa
Waqar Younis,20,8,47,4,2.35,1,Zimbabwe,Harare,3/21/1998,Pakistan
MRCN Bandaratilleke,38,13,47,4,1.23,1,New Zealand,Galle,6/3/1998,Sri Lanka
SCG MacGill,21,7,47,4,2.23,3,Pakistan,Rawalpindi,10/1/1998,Australia
Shoaib Akhtar,20.166666666666668,5,47,4,2.33,4,India,Eden Gardens,2/16/1999,Pakistan
SK Warne,22,7,47,4,2.13,1,India,Wankhede,2/27/2001,Australia
SE Bond,13.166666666666666,2,47,4,3.56,2,Bangladesh,Hamilton,12/18/2001,New Zealand
M Muralidaran,37,18,47,4,1.27,4,England,Galle,12/2/2003,Sri Lanka
A Kumble,8,2,47,4,5.87,3,Pakistan,Rawalpindi,4/13/2004,India
SP Jones,15.5,3,47,4,3.03,1,South Africa,Centurion,1/21/2005,England
B Lee,18.83333333333333,6,47,4,2.49,3,England,Melbourne,12/26/2006,Australia
DJ Bravo,18.83333333333333,3,47,4,2.49,3,Australia,Kingston,5/22/2008,West Indies
SCJ Broad,24,4,47,4,1.95,1,Pakistan,Abu Dhabi,1/25/2012,England
JC Tredwell,26,12,47,4,1.8,2,West Indies,North Sound,4/13/2015,England
JP Duminy,11.5,2,47,4,4.08,1,New Zealand,Wellington,3/16/2017,South Africa
MG Hughes,17,5,48,4,2.82,2,West Indies,Port of Spain,4/5/1991,Australia
J Srinath,20,8,48,4,2.4,4,West Indies,Wankhede,11/18/1994,India
Waqar Younis,15,3,48,4,3.2,1,New Zealand,Lahore,11/21/1996,Pakistan
RK Chauhan,34,13,48,4,1.41,2,Sri Lanka,Wankhede,12/3/1997,India
RD King,23,6,48,4,2.08,3,Pakistan,St John's,5/25/2000,West Indies
Saqlain Mushtaq,20,3,48,4,2.4,2,New Zealand,Auckland,3/8/2001,Pakistan
Shoaib Akhtar,11,1,48,4,4.36,3,Bangladesh,Chattogram,1/16/2002,Pakistan
MJ Hoggard,27,11,48,4,1.77,3,Bangladesh,Dhaka,10/21/2003,England
M Muralidaran,15,4,48,4,3.2,1,Australia,Kandy,3/16/2004,Sri Lanka
SM Pollock,23,5,48,4,2.08,1,Sri Lanka,Galle,8/4/2004,South Africa
SE Bond,14,1,48,4,3.42,3,Zimbabwe,Bulawayo,8/15/2005,New Zealand
NW Bracken,16,3,48,4,3,4,West Indies,Brisbane,11/3/2005,Australia
CRD Fernando,13,2,48,4,3.69,1,South Africa,Colombo (SSC),7/27/2006,Sri Lanka
SJ Harmison,19,4,48,4,2.52,1,Australia,Perth,12/14/2006,England
DW Steyn,18,2,48,4,2.66,3,Bangladesh,Mirpur,2/22/2008,South Africa
R Rampaul,21,6,48,4,2.28,4,Pakistan,Providence,5/12/2011,West Indies
Imran Tahir,16.5,1,48,4,2.9,3,India,Mohali,11/5/2015,South Africa
N Wagner,29,10,48,4,1.65,4,Sri Lanka,Christchurch,12/26/2018,New Zealand
D Olivier,15,3,48,4,3.2,1,Pakistan,Cape Town,1/3/2019,South Africa
KAJ Roach,25.83333333333333,11,48,4,1.85,1,England,Gros Islet,2/9/2019,West Indies
DW Steyn,20,7,48,4,2.4,2,Sri Lanka,Durban,2/13/2019,South Africa
R Ashwin,15,3,48,4,3.2,3,England,Ahmedabad,2/24/2021,India
B Muzarabani,12,3,48,4,4,1,Afghanistan,Abu Dhabi,3/2/2021,Zimbabwe
SCJ Broad,23.166666666666668,8,48,4,2.07,2,New Zealand,Birmingham,6/10/2021,England
TG Southee,19,4,48,4,2.52,3,India,Southampton,6/18/2021,New Zealand
BL Cairns,19.666666666666668,8,49,4,2.49,3,Pakistan,Auckland,1/25/1985,New Zealand
Iqbal Qasim,25,14,49,4,1.96,3,Australia,Karachi,9/15/1988,Pakistan
BP Patterson,20,2,49,4,2.45,2,Australia,Melbourne,12/24/1988,West Indies
CJ McDermott,22,6,49,4,2.22,1,West Indies,Bridgetown,4/19/1991,Australia
ARC Fraser,24,9,49,4,2.04,1,West Indies,Port of Spain,3/25/1994,England
SM Pollock,20.5,4,49,4,2.39,3,West Indies,Johannesburg,11/26/1998,South Africa
GD McGrath,21,5,49,4,2.33,3,Pakistan,Perth,11/26/1999,Australia
TT Samaraweera,11.666666666666666,1,49,4,4.2,4,Bangladesh,Colombo (SSC),7/28/2002,Sri Lanka
CRD Fernando,12,0,49,4,4.08,4,South Africa,Centurion,11/15/2002,Sri Lanka
A Kumble,30.666666666666668,13,49,4,1.59,3,England,Wankhede,3/18/2006,India
SK Warne,32,12,49,4,1.53,3,England,Adelaide,12/1/2006,Australia
HMRKB Herath,20,7,49,4,2.45,2,South Africa,Durban,12/26/2011,Sri Lanka
RMS Eranga,17.666666666666668,2,49,4,2.77,1,Bangladesh,Mirpur,1/27/2014,Sri Lanka
HMRKB Herath,25,8,49,4,1.96,2,Australia,Pallekele,7/26/2016,Sri Lanka
Shakib Al Hasan,13,1,49,4,3.76,4,England,Mirpur,10/28/2016,Bangladesh
Mohammed Shami,16,3,49,4,3.06,3,South Africa,Centurion,1/13/2018,India
HMRKB Herath,11.5,1,49,4,4.26,4,Bangladesh,Mirpur,2/8/2018,Sri Lanka
KAJ Roach,18,8,49,4,2.72,1,Sri Lanka,Gros Islet,6/14/2018,West Indies
MJ Leach,22,8,49,4,2.22,4,Australia,The Oval,9/12/2019,England
CBRLS Kumara,18,5,49,4,2.72,1,Pakistan,Karachi,12/19/2019,Sri Lanka
TG Southee,20.166666666666668,5,49,4,2.42,1,India,Wellington,2/21/2020,New Zealand
BA Stokes,14,5,49,4,3.5,2,West Indies,Southampton,7/8/2020,England
DM Bess,16,1,49,4,3.06,3,Sri Lanka,Galle,1/22/2021,England
J Yadav,14,4,49,4,3.5,4,New Zealand,Wankhede,12/3/2021,India
AR Border,18.666666666666668,3,50,4,2.67,3,West Indies,Sydney,1/26/1989,Australia
BP Patterson,26,2,50,4,1.92,1,Australia,Port of Spain,4/5/1991,West Indies
MG Hughes,16,4,50,4,3.12,3,India,Brisbane,11/29/1991,Australia
Waqar Younis,21,4,50,4,2.38,4,Zimbabwe,Rawalpindi,12/9/1993,Pakistan
Wasim Akram,24,4,50,4,2.08,2,Australia,Sydney,11/30/1995,Pakistan
Ata-ur-Rehman,15.666666666666666,3,50,4,3.19,2,England,Lord's,7/25/1996,Pakistan
SB Doull,19.666666666666668,5,50,4,2.54,3,Zimbabwe,Auckland,2/26/1998,New Zealand
GD McGrath,17,0,50,4,2.94,4,England,Adelaide,12/11/1998,Australia
CA Walsh,27,14,50,4,1.85,2,England,Manchester,8/3/2000,West Indies
ST Jayasuriya,27,7,50,4,1.85,2,England,Galle,2/22/2001,Sri Lanka
D Gough,22,6,50,4,2.27,3,Sri Lanka,Kandy,3/7/2001,England
Azhar Mahmood,26,12,50,4,1.92,1,England,Lord's,5/17/2001,Pakistan
A Flintoff,28,9,50,4,1.78,2,India,Bengaluru,12/19/2001,England
GD McGrath,16.666666666666668,5,50,4,3,1,Pakistan,Sydney,1/2/2005,Australia
M Ntini,19,6,50,4,2.63,2,England,Cape Town,1/2/2005,South Africa
CH Gayle,37.833333333333336,18,50,4,1.32,2,South Africa,Port of Spain,4/8/2005,West Indies
M Zondeki,16,1,50,4,3.12,1,West Indies,Bridgetown,4/21/2005,South Africa
MS Panesar,16.666666666666668,5,50,4,3,2,West Indies,Manchester,6/7/2007,England
TT Bresnan,21.666666666666668,8,50,4,2.3,3,Australia,Melbourne,12/26/2010,England
PM Siddle,26,11,50,4,1.92,4,Sri Lanka,Hobart,12/14/2012,Australia
Yasir Shah,25,6,50,4,2,4,Australia,Dubai (DSC),10/22/2014,Pakistan
RA Jadeja,16,2,50,4,3.12,1,South Africa,Bengaluru,11/14/2015,India
CT Mumba,11.833333333333334,2,50,4,4.22,3,Sri Lanka,Harare,10/29/2016,Zimbabwe
Shakib Al Hasan,12.666666666666666,1,50,4,3.94,2,New Zealand,Christchurch,1/20/2017,Bangladesh
K Rabada,14,1,50,4,3.57,1,Sri Lanka,Galle,7/12/2018,South Africa
Shaheen Shah Afridi,17,4,50,4,2.94,4,West Indies,Kingston,8/12/2021,Pakistan
JA Warrican,18.5,5,50,4,2.7,1,Sri Lanka,Galle,11/29/2021,West Indies
EJ Chatfield,28,11,51,4,1.82,1,West Indies,Port of Spain,3/29/1985,New Zealand
Arshad Ayub,48,21,51,4,1.06,2,New Zealand,Bengaluru,11/12/1988,India
MG Hughes,20,7,51,4,2.55,2,New Zealand,Perth,11/24/1989,Australia
KIW Wijegunawardene,17.333333333333332,2,51,4,2.94,4,Pakistan,Faisalabad,1/2/1992,Sri Lanka
SK Warne,24,10,51,4,2.12,2,England,Manchester,6/3/1993,Australia
CL Cairns,11.166666666666666,2,51,4,4.56,1,Pakistan,Christchurch,12/8/1995,New Zealand
CA Walsh,24.83333333333333,9,51,4,2.05,2,England,Leeds,8/17/2000,West Indies
RD King,17,4,51,4,3,1,Zimbabwe,Bulawayo,7/19/2001,West Indies
A Kumble,24.83333333333333,5,51,4,2.05,2,West Indies,Wankhede,10/9/2002,India
Harbhajan Singh,14,1,51,4,3.64,4,Sri Lanka,Galle,7/31/2008,India
JM Anderson,19,4,51,4,2.68,1,Australia,Adelaide,12/3/2010,England
Abdur Rehman,27,12,51,4,1.88,3,Bangladesh,Mirpur,12/17/2011,Pakistan
Saeed Ajmal,18.166666666666668,2,51,4,2.8,4,South Africa,Cape Town,2/14/2013,Pakistan
JP Faulkner,19.666666666666668,3,51,4,2.59,2,England,The Oval,8/21/2013,Australia
WD Parnell,10.5,1,51,4,4.85,3,Sri Lanka,Johannesburg,1/12/2017,South Africa
ST Gabriel,17,4,51,4,3,1,England,Leeds,8/25/2017,West Indies
SCJ Broad,28,10,51,4,1.82,1,Australia,Melbourne,12/26/2017,England
Hasan Ali,15.333333333333334,2,51,4,3.32,1,England,Lord's,5/24/2018,Pakistan
Shaheen Shah Afridi,21,6,51,4,2.42,4,South Africa,Rawalpindi,2/4/2021,Pakistan
N Kapil Dev,22,7,52,4,2.36,3,England,Lord's,6/5/1986,India
WKM Benjamin,22,4,52,4,2.36,3,England,The Oval,8/4/1988,West Indies
MG Hughes,20,5,52,4,2.6,2,England,Lord's,6/17/1993,Australia
DK Morrison,30,9,52,4,1.73,2,India,Hamilton,3/19/1994,New Zealand
PS de Villiers,23,9,52,4,2.26,3,New Zealand,Johannesburg,11/25/1994,South Africa
HH Streak,18,5,52,4,2.88,3,Pakistan,Harare,2/15/1995,Zimbabwe
HH Streak,25,7,52,4,2.08,1,New Zealand,Hamilton,1/13/1996,Zimbabwe
D Gough,23,9,52,4,2.26,3,New Zealand,Wellington,2/6/1997,England
BN Schultz,20,4,52,4,2.6,1,Australia,Centurion,3/21/1997,South Africa
SB O'Connor,18.5,7,52,4,2.81,1,Zimbabwe,Wellington,2/19/1998,New Zealand
MRCN Bandaratilleke,17,3,52,4,3.05,4,New Zealand,Colombo (SSC),6/10/1998,Sri Lanka
CS Martin,10,3,52,4,5.2,1,Pakistan,Hamilton,3/27/2001,New Zealand
AR Caddick,17,3,52,4,3.05,2,Pakistan,Lord's,5/17/2001,England
M Ntini,22,5,52,4,2.36,3,Sri Lanka,Centurion,11/15/2002,South Africa
JM Anderson,15.333333333333334,2,52,4,3.39,3,West Indies,The Oval,8/19/2004,England
Danish Kaneria,22.166666666666668,8,52,4,2.34,3,England,Lahore,11/29/2005,Pakistan
MF Maharoof,15,2,52,4,3.46,2,Pakistan,Colombo (SSC),3/26/2006,Sri Lanka
JE Taylor,15.166666666666666,1,52,4,3.42,3,Sri Lanka,Port of Spain,4/3/2008,West Indies
M Morkel,15,4,52,4,3.46,1,England,Leeds,7/18/2008,South Africa
CS Martin,19,4,52,4,2.73,3,Pakistan,Wellington,12/3/2009,New Zealand
DR Tuffey,15.5,4,52,4,3.35,1,Pakistan,Napier,12/11/2009,New Zealand
DJG Sammy,27,11,52,4,1.92,3,India,Kingston,6/20/2011,West Indies
TG Southee,16,1,52,4,3.25,2,West Indies,Dunedin,12/3/2013,New Zealand
TA Boult,17,3,52,4,3.05,3,Zimbabwe,Bulawayo,7/28/2016,New Zealand
AU Rashid,11.833333333333334,1,52,4,4.39,3,Bangladesh,Mirpur,10/28/2016,England
KAJ Roach,13,2,52,4,4,3,England,North Sound,1/31/2019,West Indies
TA Boult,16,5,52,4,3.25,3,Bangladesh,Wellington,3/8/2019,New Zealand
MA Starc,18.33333333333333,5,52,4,2.83,1,Pakistan,Brisbane,11/21/2019,Australia
KAJ Roach,13,1,52,4,4,3,South Africa,Gros Islet,6/18/2021,West Indies
Sir RJ Hadlee,28.666666666666668,11,53,4,1.84,1,West Indies,Kingston,5/4/1985,New Zealand
BA Reid,25,6,53,4,2.12,3,New Zealand,Brisbane,12/4/1987,Australia
CEL Ambrose,26,10,53,4,2.03,1,England,Nottingham,6/2/1988,West Indies
Arshad Ayub,35.666666666666664,12,53,4,1.48,4,New Zealand,Bengaluru,11/12/1988,India
BA Reid,18,3,53,4,2.94,1,England,Brisbane,11/23/1990,Australia
BA Reid,29,9,53,4,1.82,2,England,Adelaide,1/25/1991,Australia
CJ McDermott,20,4,53,4,2.65,2,Sri Lanka,Colombo (RPS),8/28/1992,Australia
HH Streak,18,4,53,4,2.94,1,Pakistan,Harare,2/15/1995,Zimbabwe
Azhar Mahmood,20.83333333333333,7,53,4,2.54,1,West Indies,Rawalpindi,11/29/1997,Pakistan
ST Jayasuriya,33,7,53,4,1.6,3,South Africa,Cape Town,3/19/1998,Sri Lanka
SCG MacGill,28,6,53,4,1.89,2,England,Adelaide,12/11/1998,Australia
MS Kasprowicz,12,2,53,4,4.41,1,Pakistan,Perth,11/26/1999,Australia
A Nel,16,6,53,4,3.31,2,Zimbabwe,Harare,9/7/2001,South Africa
M Muralidaran,26,8,53,4,2.03,2,Zimbabwe,Colombo (SSC),12/27/2001,Sri Lanka
Mohammad Sami,19,3,53,4,2.78,2,Zimbabwe,Harare,11/9/2002,Pakistan
M Ntini,14,4,53,4,3.78,4,West Indies,Johannesburg,12/12/2003,South Africa
BA Williams,22,5,53,4,2.4,3,India,Melbourne,12/26/2003,Australia
IK Pathan,12,4,53,4,4.41,3,Zimbabwe,Bulawayo,9/13/2005,India
Danish Kaneria,23.33333333333333,6,53,4,2.27,1,Sri Lanka,Kandy,4/3/2006,Pakistan
I Sharma,19.5,4,53,4,2.71,4,West Indies,Bridgetown,6/28/2011,India
SCJ Broad,17,6,53,4,3.11,1,India,Birmingham,8/10/2011,England
JL Pattinson,15,2,53,4,3.53,4,India,Melbourne,12/26/2011,Australia
N Deonarine,11,1,53,4,4.81,4,Australia,Bridgetown,4/7/2012,West Indies
MD Craig,18,8,53,4,2.94,4,Sri Lanka,Wellington,1/3/2015,New Zealand
NM Lyon,14.833333333333334,2,53,4,3.57,4,India,Pune,2/23/2017,Australia
Shaheen Shah Afridi,21.83333333333333,3,53,4,2.42,1,Bangladesh,Rawalpindi,2/7/2020,Pakistan
MA Starc,21,5,53,4,2.52,1,India,Adelaide,12/17/2020,Australia
Hasan Ali,15,2,53,4,3.53,1,Zimbabwe,Harare,4/29/2021,Pakistan
AC Cummins,20,4,54,4,2.7,2,Pakistan,St John's,5/1/1993,West Indies
Aamer Sohail,21,4,54,4,2.57,3,Sri Lanka,Peshawar,9/8/1995,Pakistan
BN Schultz,21,7,54,4,2.57,1,Zimbabwe,Harare,10/13/1995,South Africa
SK Warne,27.83333333333333,10,54,4,1.94,3,Pakistan,Brisbane,11/9/1995,Australia
Waqar Younis,15,3,54,4,3.6,3,Zimbabwe,Faisalabad,10/24/1996,Pakistan
PA Strang,18.166666666666668,0,54,4,2.97,2,New Zealand,Auckland,2/26/1998,Zimbabwe
Waqar Younis,18,3,54,4,3,1,Zimbabwe,Lahore,12/10/1998,Pakistan
WPUJC Vaas,23.666666666666668,5,54,4,2.28,1,Australia,Colombo (SSC),9/30/1999,Sri Lanka
AR Caddick,21,7,54,4,2.57,4,West Indies,The Oval,8/31/2000,England
C White,24.5,5,54,4,2.2,2,Pakistan,Lahore,11/15/2000,England
AA Donald,25,5,54,4,2.16,1,West Indies,Kingston,4/19/2001,South Africa
AR Caddick,18,3,54,4,3,3,Pakistan,Lord's,5/17/2001,England
M Muralidaran,23.666666666666668,5,54,4,2.28,2,West Indies,Kandy,11/21/2001,Sri Lanka
SE Bond,15,5,54,4,3.6,3,Bangladesh,Wellington,12/26/2001,New Zealand
DNT Zoysa,16,3,54,4,3.37,1,Australia,Kandy,3/16/2004,Sri Lanka
Shabbir Ahmed,22.666666666666668,7,54,4,2.38,2,England,Multan,11/12/2005,Pakistan
HMRKB Herath,23,5,54,4,2.34,1,West Indies,Pallekele,12/1/2010,Sri Lanka
BW Hilfenhaus,18,6,54,4,3,3,India,Perth,1/13/2012,Australia
RA Jadeja,44,18,54,4,1.22,3,Australia,Ranchi,3/16/2017,India
JO Holder,13.833333333333334,1,54,4,3.9,2,England,Lord's,9/7/2017,West Indies
TA Boult,18.33333333333333,6,54,4,2.94,2,Pakistan,Abu Dhabi,11/16/2018,New Zealand
MA Wood,16.166666666666668,3,54,4,3.34,4,South Africa,Johannesburg,1/24/2020,England
MJ Leach,20,2,54,4,2.7,2,India,Ahmedabad,2/24/2021,England
JM Anderson,23,8,54,4,2.34,2,India,Nottingham,8/4/2021,England
Imran Khan,19,3,55,4,2.89,1,Sri Lanka,Sialkot,10/27/1985,Pakistan
Wasim Akram,27.5,9,55,4,2,2,Sri Lanka,Colombo (CCC),3/14/1986,Pakistan
CA Walsh,16,5,55,4,3.43,3,India,Chennai,1/11/1988,West Indies
MD Marshall,20,4,55,4,2.75,2,Pakistan,Port of Spain,4/14/1988,West Indies
Arshad Ayub,30,9,55,4,1.83,1,New Zealand,Hyderabad (Deccan),12/2/1988,India
GP Wickramasinghe,18,4,55,4,3.05,4,Pakistan,Sialkot,9/22/1995,Sri Lanka
SK Warne,34,20,55,4,1.61,1,Pakistan,Sydney,11/30/1995,Australia
Waqar Younis,17.666666666666668,4,55,4,3.11,3,South Africa,Gqeberha,3/6/1998,Pakistan
CA Walsh,20,6,55,4,2.75,1,Australia,Kingston,3/13/1999,West Indies
AR Caddick,20,3,55,4,2.75,1,Sri Lanka,Kandy,3/7/2001,England
M Muralidaran,25,9,55,4,2.2,1,Pakistan,Lahore,3/6/2002,Sri Lanka
Waqar Younis,17.5,5,55,4,3.14,1,Australia,Sharjah,10/19/2002,Pakistan
JM Anderson,23,8,55,4,2.39,3,Zimbabwe,Chester-le-Street,6/5/2003,England
SJ Harmison,21.666666666666668,4,55,4,2.53,3,Zimbabwe,Chester-le-Street,6/5/2003,England
GD McGrath,25,8,55,4,2.2,2,India,Bengaluru,10/6/2004,Australia
A Kumble,26,9,55,4,2.11,2,Bangladesh,Chattogram,12/17/2004,India
Shabbir Ahmed,18.83333333333333,4,55,4,2.92,4,West Indies,Kingston,6/3/2005,Pakistan
WPUJC Vaas,20.33333333333333,8,55,4,2.7,3,Bangladesh,Colombo (PSS),7/3/2007,Sri Lanka
RJ Sidebottom,28.33333333333333,12,55,4,1.94,1,New Zealand,Lord's,5/15/2008,England
JM Anderson,21,5,55,4,2.61,2,Australia,Lord's,7/16/2009,England
F de Wet,23,8,55,4,2.39,4,England,Centurion,12/16/2009,South Africa
DW Steyn,20,4,55,4,2.75,1,Australia,Cape Town,11/9/2011,South Africa
DW Steyn,20,5,55,4,2.75,4,Australia,Gqeberha,2/20/2014,South Africa
KAJ Roach,19.166666666666668,4,55,4,2.86,3,New Zealand,Bridgetown,6/26/2014,West Indies
JR Hazlewood,27.5,7,55,4,2,2,Pakistan,Sydney,1/3/2017,Australia
Mohammad Abbas,27,9,55,4,2.03,2,Sri Lanka,Karachi,12/19/2019,Pakistan
R Ashwin,18,3,55,4,3.05,2,Australia,Adelaide,12/17/2020,India
PJ Cummins,24,10,55,4,2.29,4,India,Brisbane,1/15/2021,Australia
CR Woakes,15,6,55,4,3.66,1,India,The Oval,9/2/2021,England
SR Waugh,23,6,56,4,2.43,2,New Zealand,Christchurch,2/28/1986,Australia
PAJ DeFreitas,26.33333333333333,6,56,4,2.12,1,Australia,Adelaide,1/25/1991,England
CA Walsh,26,2,56,4,2.15,3,Australia,St John's,4/27/1991,West Indies
DK Liyanage,16,3,56,4,3.5,3,Australia,Moratuwa,9/8/1992,Sri Lanka
CA Walsh,18,2,56,4,3.11,2,Pakistan,Bridgetown,4/23/1993,West Indies
CL Cairns,24,7,56,4,2.33,2,Zimbabwe,Hamilton,1/13/1996,New Zealand
CL Cairns,24.5,4,56,4,2.28,3,Zimbabwe,Wellington,2/19/1998,New Zealand
WPUJC Vaas,29.666666666666668,10,56,4,1.88,1,Zimbabwe,Harare,12/4/1999,Sri Lanka
A Kumble,28,12,56,4,2,4,South Africa,Wankhede,2/24/2000,India
Abdul Razzaq,26,6,56,4,2.15,4,Sri Lanka,Rawalpindi,2/26/2000,Pakistan
RDB Croft,32,9,56,4,1.75,1,Sri Lanka,Colombo (SSC),3/15/2001,England
CA Walsh,38,13,56,4,1.47,3,South Africa,St John's,4/6/2001,West Indies
WPUJC Vaas,22,8,56,4,2.54,2,West Indies,Kandy,11/21/2001,Sri Lanka
B Lee,16,3,56,4,3.5,3,New Zealand,Perth,11/30/2001,Australia
A Nel,21.33333333333333,3,56,4,2.62,1,West Indies,Bridgetown,4/21/2005,South Africa
CD Collymore,16.833333333333332,2,56,4,3.32,3,Pakistan,Kingston,6/3/2005,West Indies
Mohammad Asif,19,6,56,4,2.94,1,England,The Oval,8/17/2006,Pakistan
DW Steyn,16,5,56,4,3.5,1,Australia,Cape Town,3/19/2009,South Africa
J Botha,19.83333333333333,2,56,4,2.82,1,West Indies,Bridgetown,6/26/2010,South Africa
FH Edwards,16,1,56,4,3.5,1,India,Kingston,6/20/2011,West Indies
CS Martin,18,2,56,4,3.11,1,South Africa,Dunedin,3/7/2012,New Zealand
Abdur Rehman,33,10,56,4,1.69,3,Sri Lanka,Sharjah,1/16/2014,Pakistan
HMRKB Herath,19.83333333333333,3,56,4,2.82,4,West Indies,Colombo (PSS),10/22/2015,Sri Lanka
VD Philander,19.33333333333333,2,56,4,2.89,2,Australia,Perth,11/3/2016,South Africa
Mohammad Abbas,23,6,56,4,2.43,1,West Indies,Bridgetown,4/30/2017,Pakistan
I Sharma,13,2,56,4,4.3,3,Bangladesh,Eden Gardens,11/22/2019,India
SCJ Broad,27.33333333333333,9,56,4,2.04,1,Pakistan,Southampton,8/13/2020,England
JJ Bumrah,16,4,56,4,3.5,1,Australia,Melbourne,12/26/2020,India
SK Warne,35,12,57,4,1.62,2,England,Lord's,6/17/1993,Australia
Mushtaq Ahmed,22,6,57,4,2.59,3,South Africa,Faisalabad,10/24/1997,Pakistan
D Gough,15,3,57,4,3.8,3,Zimbabwe,Lord's,5/18/2000,England
DA Marillier,19,4,57,4,3,3,Bangladesh,Chattogram,11/15/2001,Zimbabwe
SL Malinga,16.833333333333332,3,57,4,3.38,1,Bangladesh,Chattogram,2/28/2006,Sri Lanka
BW Hilfenhaus,19,3,57,4,3,4,India,Mohali,10/1/2010,Australia
PM Siddle,19,4,57,4,3,4,England,Adelaide,12/5/2013,Australia
BA Stokes,17.166666666666668,3,57,4,3.32,1,Pakistan,Abu Dhabi,10/13/2015,England
MA Starc,17.333333333333332,4,57,4,3.28,2,New Zealand,Brisbane,11/5/2015,Australia
Mohammed Shami,16,0,57,4,3.56,3,England,Southampton,8/30/2018,India
JR Hazlewood,25,6,57,4,2.28,2,England,Manchester,9/4/2019,Australia
AIC Dodemaide,19.166666666666668,7,58,4,3.02,3,Sri Lanka,Perth,2/12/1988,Australia
CEL Ambrose,25.166666666666668,8,58,4,2.3,1,England,Leeds,7/21/1988,West Indies
GC Small,22,6,58,4,2.63,3,West Indies,Kingston,2/24/1990,England
BN Schultz,16,4,58,4,3.62,3,Sri Lanka,Colombo (SSC),9/6/1993,South Africa
CEL Ambrose,30,8,58,4,1.93,1,England,Georgetown,3/17/1994,West Indies
Wasim Akram,18.666666666666668,4,58,4,3.1,3,Zimbabwe,Faisalabad,10/24/1996,Pakistan
PR Reiffel,24.166666666666668,6,58,4,2.4,2,West Indies,Brisbane,11/22/1996,Australia
GD McGrath,21.83333333333333,8,58,4,2.65,1,New Zealand,Hamilton,3/31/2000,Australia
A Kumble,29.5,8,58,4,1.96,3,Zimbabwe,Delhi,2/28/2002,India
Umar Gul,15,2,58,4,3.86,3,Bangladesh,Multan,9/3/2003,Pakistan
Z Khan,19,4,58,4,3.05,3,Zimbabwe,Harare,9/20/2005,India
Shoaib Akhtar,18.166666666666668,4,58,4,3.19,4,India,Delhi,11/22/2007,Pakistan
G Onions,16.666666666666668,2,58,4,3.48,1,Australia,Birmingham,7/30/2009,England
DL Vettori,22,6,58,4,2.63,1,Pakistan,Wellington,12/3/2009,New Zealand
SW Masakadza,24,5,58,4,2.41,3,Bangladesh,Harare,4/25/2013,Zimbabwe
TG Southee,28.33333333333333,8,58,4,2.04,1,England,Lord's,5/16/2013,New Zealand
PADLR Sandakan,21.33333333333333,3,58,4,2.71,2,Australia,Pallekele,7/26/2016,Sri Lanka
PJ Cummins,18,5,58,4,3.22,3,South Africa,Johannesburg,3/30/2018,Australia
CBRLS Kumara,23.5,5,58,4,2.46,1,West Indies,Bridgetown,6/23/2018,Sri Lanka
KA Maharaj,20,5,58,4,2.9,3,Sri Lanka,Galle,7/12/2018,South Africa
SCJ Broad,18.5,4,58,4,3.13,1,South Africa,Centurion,12/26/2019,England
SM Curran,20,5,58,4,2.9,1,South Africa,Centurion,12/26/2019,England
Yasir Shah,17.333333333333332,3,58,4,3.34,3,Bangladesh,Rawalpindi,2/7/2020,Pakistan
Mehidy Hasan Miraz,26,9,58,4,2.23,2,West Indies,Chattogram,2/3/2021,Bangladesh
NA Foster,27,7,59,4,2.18,3,Pakistan,Birmingham,7/23/1987,England
CEL Ambrose,36.333333333333336,8,59,4,1.62,2,England,Port of Spain,3/23/1990,West Indies
